external_id,purchase_collection
product_template_12456_bc69c401,HUG
product_template_13058_464181b8,HUG
product_template_13060_78b6f569,HUG
product_template_13062_eb5f9adf,HUG
product_template_13059_d1912eb4,HUG
product_template_13061_49f4c09f,HUG
product_template_13063_8656769b,HUG
product_template_13048_f2d469b4,HUG
product_template_13050_24092f79,HUG
product_template_13055_2de2dc96,HUG
product_template_13056_08381234,HUG
product_template_13057_cfd9eb50,HUG
product_template_13054_6ad06f3c,HUG
product_template_9728_04fdcbb3,TAC
product_template_78838_534448,HUG
product_template_11826_e780e5dd,MESA
product_template_11823_ff17ac98,MESA
product_template_11806_28a45137,MESA
product_template_11827_d83506ff,MESA
product_template_11814_04bdd98c,MESA
product_template_11871_4543a0e2,MESA
product_template_11824_0028e6cb,MESA
product_template_11873_020bc216,MESA
product_template_11807_8a764d22,MESA
product_template_11795_d5944941,MTS
product_template_13360_c7bb86e4,MTS
product_template_11697_c5abd0ae,MESA
product_template_11699_bf2d387e,MESA
product_template_13157_451d30d6,MESA
product_template_11446_be90babe,MESA
product_template_10912_4c6f59a5,MESA
product_template_13137_84db7e9a,MESA
product_template_10905_04c515bb,MESA
product_template_11452_eb1ec989,MESA
product_template_12282_279604f2,NCL
product_template_12058_df644228,NCL
product_template_11832_44a9b56c,MESA
product_template_11211_12fca6fb,MESA
product_template_11466_ed2edeb5,MESA
product_template_11610_e72b94c9,MESA
product_template_11307_afae62e5,MESA
product_template_12428_eee4aabf,MESA
product_template_10911_471c2ceb,MESA
product_template_13136_d102c585,MESA
product_template_12547_1ca823f8,MESA
product_template_10904_d7982cbd,MESA
product_template_11451_8966fb13,MESA
product_template_12281_c1b5bcd0,NCL
product_template_12059_e0f6c6c4,NCL
product_template_13307_a9a95416,MESA
product_template_12566_b6c281cd,MESA
product_template_11833_554150f6,MESA
product_template_11212_c757e94c,MESA
product_template_11694_9ed95d85,MESA
product_template_11465_b4a2792a,MESA
product_template_12716_0f23033a,MESA
product_template_11611_ade1000c,MESA
product_template_12431_4169175c,MESA
product_template_11308_258b6c39,MESA
product_template_12572_618c1d1a,MESA
product_template_12571_430458c6,MESA
product_template_12437_7b4bb6f4,MESA
product_template_11SM3000_531876,MESA
product_template_12061_8a07fb90,NCL
product_template_12748_c188474b,MESA
product_template_12049_9d48dd9d,MESA
product_template_12053_5fa2a9c7,MESA
product_template_11615_f8cd78c7,MESA
product_template_11254_454f0d03,MESA
product_template_11836_68729c0b,MESA
product_template_11296_78757029,MESA
product_template_12268_d6efbf7e,NCL
product_template_13118_ed0a226c,MESA
product_template_12723_4a64b062,MESA
product_template_11773_b123a1de,MESA
product_template_11286_aeb9708d,MESA
product_template_11801_886bdc79,MESA
product_template_11619_878edaea,MESA
product_template_11533_bd7e5fae,MESA
product_template_11360_793039b4,MESA
product_template_13164_a7e0510a,MESA
product_template_12048_21b8d3d2,MESA
product_template_12054_ec726ff9,MESA
product_template_11614_e3ee767c,MESA
product_template_11253_90757b08,MESA
product_template_11837_03ac4c9b,MESA
product_template_12267_4dff871c,NCL
product_template_13119_ea50c37f,MESA
product_template_12724_ffa5bca3,MESA
product_template_11774_7e36a1e7,MESA
product_template_11285_7f7c880d,MESA
product_template_13309_d7f9aeec,MESA
product_template_11802_b6dcfa16,MESA
product_template_11618_25725a28,MESA
product_template_11532_720e17e6,MESA
product_template_13165_57275445,MESA
product_template_11359_cf6e3879,MESA
product_template_12882_13e48bdb,MESA
product_template_12883_678a77b6,MESA
product_template_12276_ce1358ff,NCL
product_template_12745_1ab3b95e,MESA
product_template_12746_03a8feb4,MESA
product_template_13158_6918719a,MTS
product_template_11695_ef9e1b3d,MESA
product_template_12947_e6cf1076,MTS
product_template_12436_1796e59b,MESA
product_template_13026_d6b2dd7b,MESA
product_template_13423_671244e5,MTS
product_template_13027_0b953fe0,MESA
product_template_13544_18130944,MESA
product_template_13545_4414557d,MESA
product_template_13427_8243b48e,MTS
product_template_13515_12f3e9e6,MTS
product_template_13376_d57ced1f,VLS
product_template_13346_153cedf4,MTS
product_template_78963_773694,ACCESORIOS
product_template_12SK5042_688888,STH
product_template_11SK5042_255536,STH
product_template_78952_422084,PULIMENTO
product_template_78958_392069,LIT
product_template_11792_75b7bc47,TAC
product_template_10013_3e3dfa1e,PULIMENTO
product_template_10014_0a29f385,PULIMENTO
product_template_78866_866343,PULIMENTO
product_template_78856_670890,MLM
product_template_78857_974564,MLM
product_template_78855_285506,MLM
product_template_12999_751d2618,ACCESORIOS
product_template_12535_647740c5,TAC
product_template_99049_903215,PULIMENTO
product_template_99061_625290,PULIMENTO
product_template_9862_2127eba6,STH
product_template_10016_1e042c99,PULIMENTO
product_template_71259_752836,PULIMENTO
product_template_11495_d7d673fd,PULIMENTO
product_template_12099_adbb6721,TAC
product_template_10017_b795aca4,PULIMENTO
product_template_12325_b5c20a9c,TAC
product_template_10018_0d0b91c5,PULIMENTO
product_template_71260_580131,PULIMENTO
product_template_12990_ff13e981,TAC
product_template_10019_08af55f0,PULIMENTO
product_template_99570_752622,PULIMENTO
product_template_10616_075e1ab4,TAC
product_template_12993_0cb0c851,TAC
product_template_99572_230605,PULIMENTO
product_template_10020_eef68751,PULIMENTO
product_template_13149_477bdf63,TAC
product_template_11470_0769272d,TAC
product_template_12080_c31289ed,TAC
product_template_10021_ce9ddf1c,PULIMENTO
product_template_11794_54b99c3a,TAC
product_template_12394_c76c583d,TAC
product_template_12249_e23b82a7,TAC
product_template_10022_2c84ff73,PULIMENTO
product_template_10615_f0fe0aea,TAC
product_template_10023_33aa13cf,EMBALAJE
product_template_11414_68b4f837,TAC
product_template_10024_5281b97a,PULIMENTO
product_template_10025_7c600e5f,PULIMENTO
product_template_71262_290116,PULIMENTO
product_template_10026_4aa3d4f3,PULIMENTO
product_template_10113_ed2c05dd,HUG
product_template_10105_0f6ac188,HUG
product_template_11415_b2e84770,TAC
product_template_99044_647509,PULIMENTO
product_template_99045_469312,PULIMENTO
